epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
55,179.956,1.12226,0.70999,1.08515,1,0.97107,0.98656,0.62185,1.24889,0.60459,1.01187,0.0009308,0.0009308,0.0009308
56,183.469,1.12829,0.70227,1.08176,0.97216,0.94382,0.98323,0.60487,1.30241,0.56287,1.0651,0.000911,0.000911,0.000911
57,187.335,1.14039,0.66398,1.15094,0.96798,0.94595,0.97843,0.61054,1.30943,0.58681,1.08472,0.0008912,0.0008912,0.0008912
58,191.118,1.15237,0.67143,1.11214,0.96838,0.94595,0.98276,0.60606,1.22458,0.60853,1.0168,0.0008714,0.0008714,0.0008714
59,194.829,1.13362,0.69399,1.11056,0.99042,0.94595,0.98183,0.6108,1.30273,0.62618,1.06104,0.0008516,0.0008516,0.0008516
60,198.49,1.06998,0.65708,1.06474,0.97597,0.91892,0.96087,0.5847,1.31481,0.60906,1.05874,0.0008318,0.0008318,0.0008318
61,202.201,1.14643,0.67246,1.09598,0.99849,0.97297,0.98923,0.61327,1.30582,0.56281,1.05691,0.000812,0.000812,0.000812
62,205.866,1.12625,0.67202,1.09824,0.97212,0.9425,0.96977,0.60955,1.30984,0.60563,1.04477,0.0007922,0.0007922,0.0007922
63,209.521,1.07721,0.66483,1.07037,0.99814,0.91892,0.96549,0.6206,1.26201,0.64522,1.02179,0.0007724,0.0007724,0.0007724
64,213.284,1.0889,0.6693,1.05597,1,0.97003,0.98798,0.6168,1.235,0.59767,1.01326,0.0007526,0.0007526,0.0007526
65,217.031,1.09493,0.63711,1.07163,0.9711,0.94595,0.97991,0.62473,1.25431,0.60644,1.04265,0.0007328,0.0007328,0.0007328
66,220.596,1.06166,0.65254,1.06245,0.99847,0.97297,0.9935,0.64215,1.26472,0.62304,1.0564,0.000713,0.000713,0.000713
67,224.111,1.10195,0.65778,1.09081,0.99434,0.97297,0.99221,0.61975,1.28069,0.58943,1.06921,0.0006932,0.0006932,0.0006932
68,227.72,1.06058,0.63371,1.06545,0.99411,0.97297,0.98923,0.60994,1.2706,0.56932,1.05508,0.0006734,0.0006734,0.0006734
69,231.39,1.09571,0.64329,1.04824,0.97218,0.94446,0.9788,0.59135,1.30936,0.59355,1.06676,0.0006536,0.0006536,0.0006536
70,235.055,1.0527,0.63148,1.05001,0.99201,0.91892,0.98226,0.61437,1.23306,0.59079,1.04448,0.0006338,0.0006338,0.0006338
71,238.783,1.0224,0.6222,1.02886,0.94695,0.96506,0.98452,0.60912,1.32599,0.57125,1.06477,0.000614,0.000614,0.000614
72,242.559,1.06459,0.64484,1.06666,0.99612,0.97297,0.98572,0.62319,1.26303,0.54792,1.05558,0.0005942,0.0005942,0.0005942
73,246.201,1.04251,0.61709,1.0597,0.96904,0.94595,0.98033,0.60929,1.34742,0.5895,1.06629,0.0005744,0.0005744,0.0005744
74,249.845,1.00134,0.58807,1.04356,0.97103,0.94595,0.97353,0.6329,1.21286,0.56942,1.03277,0.0005546,0.0005546,0.0005546
75,253.37,1.05142,0.62289,1.05905,0.99688,0.97297,0.9804,0.60385,1.31683,0.57644,1.07784,0.0005348,0.0005348,0.0005348
76,257.009,1.03261,0.60579,1.03817,0.96925,0.94595,0.97975,0.62764,1.30468,0.57477,1.07918,0.000515,0.000515,0.000515
77,260.656,1.00567,0.61039,1.04006,0.97439,0.91892,0.9764,0.61157,1.35386,0.564,1.0943,0.0004952,0.0004952,0.0004952
78,264.204,1.01418,0.5998,1.03716,0.94207,0.94595,0.96707,0.61242,1.32739,0.5559,1.05558,0.0004754,0.0004754,0.0004754
79,267.798,1.02166,0.59656,1.04786,1,0.96736,0.98025,0.6008,1.30332,0.56399,1.07896,0.0004556,0.0004556,0.0004556
80,271.45,0.9971,0.58004,1.01394,0.9975,0.97297,0.98798,0.62305,1.28149,0.53349,1.03871,0.0004358,0.0004358,0.0004358
81,275.064,1.03135,0.59555,1.04898,0.97219,0.94483,0.9727,0.61968,1.30338,0.55052,1.03545,0.000416,0.000416,0.000416
82,278.66,1.00427,0.58134,1.03131,0.99763,0.89189,0.9806,0.61396,1.36254,0.58453,1.08696,0.0003962,0.0003962,0.0003962
83,282.31,0.9796,0.55326,1.03034,0.99777,0.94595,0.98917,0.63978,1.32455,0.56357,1.06253,0.0003764,0.0003764,0.0003764
84,285.921,0.98987,0.57295,1.024,0.96799,0.94595,0.97989,0.62834,1.33627,0.5652,1.05178,0.0003566,0.0003566,0.0003566
85,289.62,0.99319,0.5714,1.01618,0.98758,0.91892,0.95768,0.62469,1.30278,0.56759,1.04797,0.0003368,0.0003368,0.0003368
86,293.336,1.0037,0.57519,1.05468,0.99708,0.97297,0.98127,0.60949,1.33703,0.58611,1.06618,0.000317,0.000317,0.000317
87,297.034,1.00404,0.57253,1.0449,0.9972,0.97297,0.98112,0.6154,1.33036,0.61306,1.05296,0.0002972,0.0002972,0.0002972
88,300.715,0.93693,0.55161,1.01894,0.9867,0.94595,0.96677,0.59929,1.31184,0.5693,1.04447,0.0002774,0.0002774,0.0002774
89,304.375,0.9747,0.5458,1.02539,0.99081,0.94595,0.96937,0.60104,1.36461,0.58689,1.07165,0.0002576,0.0002576,0.0002576
90,308.207,0.95275,0.53945,1.01017,0.99833,0.97297,0.98351,0.60489,1.34449,0.58574,1.06022,0.0002378,0.0002378,0.0002378
91,335.213,0.96477,0.56694,1.01836,0.99619,0.97297,0.98056,0.60029,1.33541,0.59319,1.04707,0.000218,0.000218,0.000218
92,338.582,0.97038,0.55054,1.02176,0.99515,0.97297,0.97711,0.62418,1.33193,0.59797,1.04491,0.0001982,0.0001982,0.0001982
93,342.051,0.95498,0.52956,1.02146,0.99658,0.97297,0.97735,0.62112,1.33679,0.60225,1.05625,0.0001784,0.0001784,0.0001784
94,345.538,0.95895,0.53868,1.01313,0.99686,0.97297,0.98117,0.61268,1.35956,0.59475,1.06338,0.0001586,0.0001586,0.0001586
95,349.141,0.91653,0.52489,1.01713,0.99911,0.97297,0.98143,0.60711,1.362,0.59265,1.05828,0.0001388,0.0001388,0.0001388
96,352.664,0.91573,0.5266,1.00689,0.99691,0.97297,0.98225,0.60968,1.35276,0.59041,1.05861,0.000119,0.000119,0.000119
97,356.222,0.91877,0.52172,0.98598,0.99833,0.97297,0.98371,0.60617,1.34529,0.56834,1.05658,9.92e-05,9.92e-05,9.92e-05
98,359.733,0.88648,0.50673,0.98532,0.99492,0.97297,0.98381,0.60405,1.34701,0.5583,1.06385,7.94e-05,7.94e-05,7.94e-05
99,363.375,0.90728,0.52389,1.01125,0.9938,0.97297,0.98425,0.61031,1.34034,0.55866,1.06479,5.96e-05,5.96e-05,5.96e-05
100,367.35,0.90698,0.51072,1.00479,0.99404,0.97297,0.98331,0.61578,1.33192,0.55336,1.05944,3.98e-05,3.98e-05,3.98e-05
